"Company","Industry","ROE","ROE_Rank"
"Devon Energy Corporation","Oil & Gas E&P","20.44","2"
"EOG Resources, Inc.","Oil & Gas E&P","14.39","3"
"Schlumberger N.V.","Oil & Gas Equipment & Services","13.88","1"
"Halliburton Company","Oil & Gas Equipment & Services","7.6","2"
"Baker Hughes Company","Oil & Gas Equipment & Services","1.66","3"
"Exxon Mobil Corporation","Oil & Gas Integrated","13.89","1"
"Chevron Corporation","Oil & Gas Integrated","11.65","2"
"Williams Companies, Inc. (The)","Oil & Gas Midstream","7.36","1"
"Kinder Morgan, Inc.","Oil & Gas Midstream","5.65","2"
"Marathon Petroleum Corporation","Oil & Gas Refining & Marketing","7.72","1"
"Phillips 66","Oil & Gas Refining & Marketing","7.39","2"
"Valero Energy Corporation","Oil & Gas Refining & Marketing","6.53","3"
"General Mills, Inc.","Packaged Foods","22.72","1"
"The Kraft Heinz Company","Packaged Foods","4.65","2"
"Walgreens Boots Alliance, Inc.","Pharmaceutical Retailers","21.71","1"
"Welltower Inc.","REIT—Healthcare Facilities","2.61","1"
"Public Storage","REIT—Industrial","19.33","1"
"Prologis, Inc.","REIT—Industrial","5.89","2"
"Digital Realty Trust, Inc.","REIT—Office","9.44","1"
"AvalonBay Communities, Inc.","REIT—Residential","9.41","1"
"Simon Property Group, Inc.","REIT—Retail","69.6","1"
"Realty Income Corporation","REIT—Retail","2","2"
"American Tower Corporation (REI","REIT—Specialty","34.48","1"
"Crown Castle International Corp","REIT—Specialty","13.07","2"
"Equinix, Inc.","REIT—Specialty","4.05","3"
"Union Pacific Corporation","Railroads","41.92","1"
"CSX Corporation","Railroads","27.85","2"
"Norfolk Southern Corporation","Railroads","20.23","3"
"Chipotle Mexican Grill, Inc.","Restaurants","30.25","1"
"McDonald's Corporation","Restaurants","0","2"
"Starbucks Corporation","Restaurants","0","2"
"Yum! Brands, Inc.","Restaurants","0","2"
"KLA Corporation","Semiconductor Equipment & Materials","82.33","1"
"Lam Research Corporation","Semiconductor Equipment & Materials","75.89","2"
"Applied Materials, Inc.","Semiconductor Equipment & Materials","51.59","3"
"QUALCOMM Incorporated","Semiconductors","106.74","1"
"Texas Instruments Incorporated","Semiconductors","69","2"
"Advanced Micro Devices, Inc.","Semiconductors","47.43","3"
"Autodesk, Inc.","Software—Application","195.55","1"
"Intuit Inc.","Software—Application","27.93","2"
"Cadence Design Systems, Inc.","Software—Application","27.58","3"
"Fortinet, Inc.","Software—Infrastructure","60","1"
"Microsoft Corporation","Software—Infrastructure","49.05","2"
"Adobe Inc.","Software—Infrastructure","34.37","3"
"Cintas Corporation","Specialty Business Services","32.17","1"
"Global Payments Inc.","Specialty Business Services","3.52","2"
"Sherwin-Williams Company (The)","Specialty Chemicals","57.05","1"
"LyondellBasell Industries NV","Specialty Chemicals","55.9","2"
"Ecolab Inc.","Specialty Chemicals","17.58","3"
"Illinois Tool Works Inc.","Specialty Industrial Machinery","88.11","1"
"Emerson Electric Company","Specialty Industrial Machinery","25.34","2"
"Parker-Hannifin Corporation","Specialty Industrial Machinery","22.87","3"
"O'Reilly Automotive, Inc.","Specialty Retail","717.37","1"
"AutoZone, Inc.","Specialty Retail","0","2"
"Automatic Data Processing, Inc.","Staffing & Employment Services","50.12","1"
"Paychex, Inc.","Staffing & Employment Services","42.57","2"
"Nucor Corporation","Steel","42.23","1"
"Verizon Communications Inc.","Telecom Services","31.17","1"
"T-Mobile US, Inc.","Telecom Services","4.5","2"
"AT&T Inc.","Telecom Services","1.37","3"
"Altria Group, Inc.","Tobacco","271.2","1"
"Philip Morris International Inc","Tobacco","0","2"
"Booking Holdings Inc. Common St","Travel Services","7.31","1"
"Old Dominion Freight Line, Inc.","Trucking","29.53","1"
"Exelon Corporation","Utilities—Diversified","5.41","1"
"DBA Sempra","Utilities—Diversified","4.78","2"
"Public Service Enterprise Group","Utilities—Diversified","-4.43","3"
"American Electric Power Company","Utilities—Regulated Electric","11.05","1"
"Xcel Energy Inc.","Utilities—Regulated Electric","10.85","2"
"Dominion Energy, Inc.","Utilities—Regulated Electric","9.64","3"
"Waste Management, Inc.","Waste Management","24.41","1"
"Republic Services, Inc.","Waste Management","14.8","2"
